,city,lat,temp_max,lon,country,clouds,wind speed,humidity
0,Bousso,10.48,92.64,16.71,TD,87,5.61,25
1,Hasaki,35.73,59.0,140.83,JP,20,5.82,82
2,Longyearbyen,78.22,35.6,15.64,SJ,90,21.92,80
3,Khani,41.96,60.8,42.96,GE,17,25.28,51
4,Albany,42.6,59.0,-73.97,US,100,1.99,39
5,Felanitx,39.47,60.8,3.15,ES,0,4.7,87
6,Lorengau,-2.02,82.53,147.27,PG,100,3.56,77
7,Majene,-3.54,78.17,118.97,ID,91,5.06,83
8,Hwange,-18.37,66.9,26.5,ZW,22,2.19,49
9,New Norfolk,-42.78,51.01,147.06,AU,100,3.56,92
10,Kibala,9.11,89.6,18.35,TD,58,3.74,49
11,San Carlos,9.66,85.89,-68.58,VE,90,2.15,57
12,Hermanus,-34.42,63.27,19.23,ZA,50,6.46,61
13,Ushuaia,-54.8,53.6,-68.3,AR,40,11.41,46
14,Barrow,71.29,-2.2,-156.79,US,1,9.17,77
15,‘Ewa Beach,21.32,78.8,-158.01,US,75,17.22,57
16,Hilo,19.73,82.4,-155.09,US,75,13.87,54
17,Balkanabat,39.51,67.46,54.37,TM,74,3.31,42
18,Khatanga,71.97,6.78,102.5,RU,23,7.29,95
19,East London,-33.02,62.06,27.91,ZA,16,7.25,71
20,San Cristobal,7.77,87.8,-72.22,VE,40,12.75,55
21,Clyde River,70.47,23.0,-68.59,CA,40,13.87,53
22,Kumul,42.8,70.99,93.45,CN,4,5.01,15
23,Butaritari,3.07,82.96,172.79,KI,100,14.25,80
24,Port Lincoln,-34.73,53.69,135.87,AU,32,19.06,68
25,Whitianga,-36.83,62.24,175.7,NZ,13,2.91,65
26,Natal,-5.79,78.8,-35.21,BR,75,9.17,88
27,Qaanaaq,77.48,16.16,-69.36,GL,100,6.64,89
28,Buenaventura,3.88,80.89,-77.03,CO,34,5.32,84
29,Ikalamavony,-21.15,64.2,46.58,MG,13,5.01,65
30,Mbini,1.57,80.6,9.61,GQ,40,5.82,100
31,Fairbanks,64.84,39.2,-147.72,US,1,8.05,44
32,Portland,45.52,73.0,-122.68,US,90,6.93,46
33,Port Elizabeth,-33.92,57.96,25.57,ZA,0,6.11,81
34,Bengkulu,-3.8,76.91,102.27,ID,100,5.01,81
35,Vaini,-21.2,80.6,-175.2,TO,75,12.75,69
36,Hong Kong,22.29,73.0,114.16,HK,21,3.0,60
37,Tāndā,26.55,81.5,82.65,IN,0,4.14,38
